"","Fecha.de.inicio.de.síntomas","casos_total","muertes_total"
"1",NA,306140,70
"2",2021-01-01,16003,516
"3",2020-10-01,9326,266
"4",2020-11-01,6274,202
"5",2020-12-01,9712,292
"6",2021-02-01,5062,139
"7",2020-03-01,5,1
"8",2021-03-01,3624,106
"9",2020-04-01,194,17
"10",2021-04-01,12832,420
"11",2020-05-01,695,36
"12",2021-05-01,4619,70
"13",2020-06-01,2529,155
"14",2020-07-01,8001,367
"15",2020-08-01,10711,443
"16",2020-09-01,7899,235
"17",2021-01-10,15112,441
"18",2020-10-10,7236,213
"19",2020-11-10,7851,200
"20",2020-12-10,12888,345
"21",2021-02-10,3405,111
"22",2020-03-10,38,3
"23",2021-03-10,4844,171
"24",2020-04-10,215,13
"25",2021-04-10,13539,448
"26",2020-05-10,1039,43
"27",2021-05-10,10,0
"28",2020-06-10,3235,204
"29",2020-07-10,9425,423
"30",2020-08-10,10826,328
"31",2020-09-10,6966,216
"32",2021-01-11,12501,330
"33",2020-10-11,6494,187
"34",2020-11-11,7179,178
"35",2020-12-11,10615,249
"36",2021-02-11,3401,84
"37",2020-03-11,34,2
"38",2021-03-11,6607,219
"39",2020-04-11,166,14
"40",2021-04-11,13902,355
"41",2020-05-11,795,33
"42",2020-06-11,2569,125
"43",2020-07-11,7017,261
"44",2020-08-11,8159,253
"45",2020-09-11,5983,179
"46",2021-01-12,15691,422
"47",2020-10-12,6986,166
"48",2020-11-12,7209,155
"49",2020-12-12,10585,241
"50",2021-02-12,3359,94
"51",2020-03-12,49,3
"52",2021-03-12,6081,172
"53",2020-04-12,197,14
"54",2021-04-12,16393,404
"55",2020-05-12,900,37
"56",2020-06-12,2991,168
"57",2020-07-12,6830,314
"58",2020-08-12,8444,255
"59",2020-09-12,5315,176
"60",2021-01-13,12315,293
"61",2020-10-13,8977,155
"62",2020-11-13,7609,198
"63",2020-12-13,9485,255
"64",2021-02-13,2841,95
"65",2020-03-13,66,4
"66",2021-03-13,5461,157
"67",2020-04-13,208,11
"68",2021-04-13,14251,374
"69",2020-05-13,960,32
"70",2020-06-13,2624,132
"71",2020-07-13,8890,353
"72",2020-08-13,7651,252
"73",2020-09-13,4551,137
"74",2021-01-14,12593,319
"75",2020-10-14,7745,170
"76",2020-11-14,6248,179
"77",2020-12-14,13206,278
"78",2021-02-14,2583,76
"79",2020-03-14,97,4
"80",2021-03-14,5829,172
"81",2020-04-14,197,16
"82",2021-04-14,13247,330
"83",2020-05-14,935,50
"84",2020-06-14,2418,129
"85",2020-07-14,8623,318
"86",2020-08-14,7969,259
"87",2020-09-14,6668,146
"88",2021-01-15,11655,291
"89",2020-10-15,10820,248
"90",2020-11-15,5620,182
"91",2020-12-15,12895,327
"92",2021-02-15,3711,118
"93",2020-03-15,133,10
"94",2021-03-15,8104,237
"95",2020-04-15,209,21
"96",2021-04-15,15967,405
"97",2020-05-15,1108,61
"98",2020-06-15,3055,181
"99",2020-07-15,8603,341
"100",2020-08-15,7399,258
"101",2020-09-15,6229,160
"102",2021-01-16,9152,259
"103",2020-10-16,9760,230
"104",2020-11-16,6572,177
"105",2020-12-16,13521,329
"106",2021-02-16,3472,100
"107",2020-03-16,137,3
"108",2021-03-16,7376,215
"109",2020-04-16,234,12
"110",2021-04-16,15769,340
"111",2020-05-16,1068,55
"112",2020-06-16,3764,161
"113",2020-07-16,9002,337
"114",2020-08-16,6817,280
"115",2020-09-16,5686,142
"116",2021-01-17,7494,202
"117",2020-10-17,7877,204
"118",2020-11-17,7499,179
"119",2020-12-17,10776,275
"120",2021-02-17,3376,94
"121",2020-03-17,122,7
"122",2021-03-17,8184,270
"123",2020-04-17,185,13
"124",2021-04-17,11862,268
"125",2020-05-17,1138,45
"126",2020-06-17,3704,140
"127",2020-07-17,8510,360
"128",2020-08-17,7204,244
"129",2020-09-17,6072,151
"130",2021-01-18,10116,282
"131",2020-10-18,7299,212
"132",2020-11-18,7369,151
"133",2020-12-18,11465,291
"134",2021-02-18,3846,107
"135",2020-03-18,138,12
"136",2021-03-18,6641,254
"137",2020-04-18,258,11
"138",2021-04-18,12594,272
"139",2020-05-18,1297,50
"140",2020-06-18,3993,185
"141",2020-07-18,7621,284
"142",2020-08-18,8558,312
"143",2020-09-18,6224,177
"144",2021-01-19,9327,248
"145",2020-10-19,10027,227
"146",2020-11-19,7866,188
"147",2020-12-19,11256,296
"148",2021-02-19,3609,106
"149",2020-03-19,161,6
"150",2021-03-19,7898,237
"151",2020-04-19,230,7
"152",2021-04-19,16968,345
"153",2020-05-19,1249,47
"154",2020-06-19,4111,174
"155",2020-07-19,6932,309
"156",2020-08-19,8800,233
"157",2020-09-19,5315,144
"158",2021-01-02,15106,396
"159",2020-10-02,7042,170
"160",2020-11-02,6231,156
"161",2020-12-02,8989,243
"162",2021-02-02,4534,103
"163",2020-03-02,4,1
"164",2021-03-02,3486,107
"165",2020-04-02,141,14
"166",2021-04-02,12943,360
"167",2020-05-02,571,22
"168",2021-05-02,4181,40
"169",2020-06-02,1807,99
"170",2020-07-02,6143,254
"171",2020-08-02,8004,353
"172",2020-09-02,6225,158
"173",2021-01-20,8078,266
"174",2020-10-20,10410,246
"175",2020-11-20,8613,209
"176",2020-12-20,11625,389
"177",2021-02-20,3053,105
"178",2020-03-20,196,15
"179",2021-03-20,8862,303
"180",2020-04-20,358,23
"181",2021-04-20,15653,315
"182",2020-05-20,1573,70
"183",2020-06-20,4749,244
"184",2020-07-20,8438,410
"185",2020-08-20,10123,286
"186",2020-09-20,5706,212
"187",2021-01-21,7009,220
"188",2020-10-21,9502,178
"189",2020-11-21,6517,159
"190",2020-12-21,13029,362
"191",2021-02-21,2386,78
"192",2020-03-21,159,10
"193",2021-03-21,7919,244
