"","Fecha.de.inicio.de.síntomas","casos_total_baq","muertes_total_baq"
"1",2021-01-01,373,9
"2",2020-10-01,82,2
"3",2020-11-01,83,3
"4",2020-12-01,392,7
"5",2021-02-01,141,1
"6",2021-03-01,286,12
"7",2020-04-01,5,0
"8",2021-04-01,1382,53
"9",2020-05-01,58,6
"10",2021-05-01,279,4
"11",2020-06-01,501,56
"12",2020-07-01,933,21
"13",2020-08-01,171,5
"14",2020-09-01,106,1
"15",2021-01-10,378,5
"16",2020-10-10,121,0
"17",2020-11-10,174,1
"18",2020-12-10,483,8
"19",2021-02-10,119,2
"20",2020-03-10,2,0
"21",2021-03-10,813,18
"22",2020-04-10,6,0
"23",2021-04-10,1404,46
"24",2020-05-10,106,2
"25",2020-06-10,666,65
"26",2020-07-10,556,14
"27",2020-08-10,117,4
"28",2020-09-10,67,2
"29",2021-01-11,338,4
"30",2020-10-11,71,2
"31",2020-11-11,163,2
"32",2020-12-11,480,11
"33",2021-02-11,140,1
"34",2021-03-11,1263,37
"35",2020-04-11,7,0
"36",2021-04-11,1760,47
"37",2020-05-11,88,3
"38",2020-06-11,527,47
"39",2020-07-11,366,8
"40",2020-08-11,114,0
"41",2020-09-11,76,1
"42",2021-01-12,648,11
"43",2020-10-12,86,2
"44",2020-11-12,158,3
"45",2020-12-12,420,10
"46",2021-02-12,171,5
"47",2020-03-12,2,0
"48",2021-03-12,1046,29
"49",2020-04-12,4,0
"50",2021-04-12,1854,36
"51",2020-05-12,87,10
"52",2020-06-12,649,41
"53",2020-07-12,200,4
"54",2020-08-12,91,3
"55",2020-09-12,61,4
"56",2021-01-13,488,5
"57",2020-10-13,103,0
"58",2020-11-13,211,4
"59",2020-12-13,349,4
"60",2021-02-13,113,3
"61",2020-03-13,2,0
"62",2021-03-13,887,22
"63",2020-04-13,5,1
"64",2021-04-13,1586,47
"65",2020-05-13,93,2
"66",2020-06-13,587,31
"67",2020-07-13,328,12
"68",2020-08-13,83,2
"69",2020-09-13,46,1
"70",2021-01-14,420,4
"71",2020-10-14,107,0
"72",2020-11-14,152,4
"73",2020-12-14,509,6
"74",2021-02-14,134,4
"75",2020-03-14,5,1
"76",2021-03-14,1034,28
"77",2020-04-14,4,1
"78",2021-04-14,1326,33
"79",2020-05-14,82,8
"80",2020-06-14,502,40
"81",2020-07-14,363,2
"82",2020-08-14,72,1
"83",2020-09-14,98,0
"84",2021-01-15,399,1
"85",2020-10-15,138,1
"86",2020-11-15,107,2
"87",2020-12-15,487,11
"88",2021-02-15,143,5
"89",2020-03-15,2,0
"90",2021-03-15,1442,33
"91",2020-04-15,10,3
"92",2021-04-15,1910,49
"93",2020-05-15,106,10
"94",2020-06-15,597,41
"95",2020-07-15,677,10
"96",2020-08-15,91,1
"97",2020-09-15,56,1
"98",2021-01-16,313,7
"99",2020-10-16,162,4
"100",2020-11-16,209,4
"101",2020-12-16,572,9
"102",2021-02-16,155,3
"103",2020-03-16,5,0
"104",2021-03-16,1194,31
"105",2020-04-16,8,1
"106",2021-04-16,2174,45
"107",2020-05-16,123,5
"108",2020-06-16,728,37
"109",2020-07-16,368,5
"110",2020-08-16,62,0
"111",2020-09-16,87,0
"112",2021-01-17,288,7
"113",2020-10-17,144,2
"114",2020-11-17,222,1
"115",2020-12-17,349,6
"116",2021-02-17,173,3
"117",2020-03-17,6,0
"118",2021-03-17,2115,74
"119",2020-04-17,6,0
"120",2021-04-17,1100,21
"121",2020-05-17,170,9
"122",2020-06-17,607,32
"123",2020-07-17,285,10
"124",2020-08-17,58,1
"125",2020-09-17,63,0
"126",2021-01-18,293,4
"127",2020-10-18,82,3
"128",2020-11-18,229,0
"129",2020-12-18,316,5
"130",2021-02-18,208,4
"131",2020-03-18,5,1
"132",2021-03-18,1327,46
"133",2020-04-18,12,0
"134",2021-04-18,1465,18
"135",2020-05-18,151,13
"136",2020-06-18,713,48
"137",2020-07-18,202,2
"138",2020-08-18,85,1
"139",2020-09-18,108,1
"140",2021-01-19,327,6
"141",2020-10-19,135,0
"142",2020-11-19,220,3
"143",2020-12-19,314,9
"144",2021-02-19,247,8
"145",2020-03-19,2,0
"146",2021-03-19,1500,41
"147",2020-04-19,6,0
"148",2021-04-19,2051,36
"149",2020-05-19,143,8
"150",2020-06-19,761,31
"151",2020-07-19,140,5
"152",2020-08-19,67,1
"153",2020-09-19,54,1
"154",2021-01-02,567,9
"155",2020-10-02,118,3
"156",2020-11-02,100,3
"157",2020-12-02,351,9
"158",2021-02-02,119,0
"159",2021-03-02,303,7
"160",2020-04-02,4,2
"161",2021-04-02,1474,37
"162",2020-05-02,68,2
"163",2021-05-02,207,1
"164",2020-06-02,334,25
"165",2020-07-02,581,7
"166",2020-08-02,96,1
"167",2020-09-02,78,0
"168",2021-01-20,232,4
"169",2020-10-20,152,2
"170",2020-11-20,224,2
"171",2020-12-20,294,5
"172",2021-02-20,166,7
"173",2020-03-20,6,0
"174",2021-03-20,1713,48
"175",2020-04-20,24,0
"176",2021-04-20,1349,26
"177",2020-05-20,192,11
"178",2020-06-20,758,52
"179",2020-07-20,265,5
"180",2020-08-20,137,2
"181",2020-09-20,37,2
"182",2021-01-21,232,2
"183",2020-10-21,144,1
"184",2020-11-21,181,4
"185",2020-12-21,383,8
"186",2021-02-21,201,4
"187",2020-03-21,4,0
"188",2021-03-21,1958,56
"189",2020-04-21,15,0
"190",2021-04-21,1096,20
"191",2020-05-21,173,11
"192",2020-06-21,491,36
"193",2020-07-21,193,1
"194",2020-08-21,75,3
"195",2020-09-21,64,1
"196",2021-01-22,236,1
"197",2020-10-22,205,2
"198",2020-11-22,125,2
"199",2020-12-22,428,3
"200",2021-02-22,247,5
"201",2020-03-22,10,1
"202",2021-03-22,1971,48
"203",2020-04-22,14,1
"204",2021-04-22,1314,17
"205",2020-05-22,149,10
"206",2020-06-22,529,22
"207",2020-07-22,231,2
"208",2020-08-22,95,2
"209",2020-09-22,54,1
"210",2021-01-23,274,6
"211",2020-10-23,168,0
"212",2020-11-23,240,6
"213",2020-12-23,431,6
"214",2021-02-23,335,5
"215",2020-03-23,1,0
"216",2021-03-23,2602,73
"217",2020-04-23,16,2
"218",2021-04-23,937,12
"219",2020-05-23,149,15
"220",2020-06-23,790,35
"221",2020-07-23,250,4
"222",2020-08-23,47,0
"223",2020-09-23,57,0
"224",2021-01-24,147,0
"225",2020-10-24,84,1
"226",2020-11-24,254,3
"227",2020-12-24,415,8
"228",2021-02-24,260,6
"229",2020-03-24,5,0
"230",2021-03-24,2043,70
"231",2020-04-24,18,6
"232",2021-04-24,1004,13
"233",2020-05-24,158,10
"234",2020-06-24,616,40
"235",2020-07-24,450,3
"236",2020-08-24,86,2
"237",2020-09-24,94,1
"238",2021-01-25,246,3
"239",2020-10-25,77,3
"240",2020-11-25,328,12
"241",2020-12-25,379,6
"242",2021-02-25,285,7
"243",2020-03-25,4,1
"244",2021-03-25,1909,57
"245",2020-04-25,20,0
"246",2021-04-25,880,6
"247",2020-05-25,198,22
"248",2020-06-25,967,20
"249",2020-07-25,302,4
"250",2020-08-25,51,2
"251",2020-09-25,112,0
"252",2021-01-26,206,3
"253",2020-10-26,121,1
"254",2020-11-26,298,5
"255",2020-12-26,422,7
"256",2021-02-26,334,11
"257",2020-03-26,4,0
"258",2021-03-26,1581,46
"259",2020-04-26,20,3
"260",2021-04-26,749,6
"261",2020-05-26,212,20
"262",2020-06-26,638,28
"263",2020-07-26,166,1
"264",2020-08-26,94,1
"265",2020-09-26,77,0
"266",2021-01-27,169,3
"267",2020-10-27,164,2
"268",2020-11-27,248,2
"269",2020-12-27,295,1
"270",2021-02-27,341,9
"271",2020-03-27,2,0
"272",2021-03-27,1575,53
"273",2020-04-27,27,1
"274",2021-04-27,669,5
"275",2020-05-27,208,16
"276",2020-06-27,571,22
"277",2020-07-27,187,2
"278",2020-08-27,67,1
"279",2020-09-27,43,2
"280",2021-01-28,171,6
"281",2020-10-28,151,4
"282",2020-11-28,321,9
"283",2020-12-28,555,8
"284",2021-02-28,248,16
"285",2020-03-28,1,0
"286",2021-03-28,991,25
"287",2020-04-28,45,5
"288",2021-04-28,554,6
"289",2020-05-28,245,19
"290",2020-06-28,532,25
"291",2020-07-28,225,5
"292",2020-08-28,50,0
"293",2020-09-28,68,0
"294",2021-01-29,196,1
"295",2020-10-29,136,1
"296",2020-11-29,238,6
"297",2020-12-29,562,2
"298",2020-03-29,4,0
"299",2021-03-29,1099,27
"300",2020-04-29,48,2
"301",2021-04-29,668,5
"302",2020-05-29,247,25
"303",2020-06-29,443,14
"304",2020-07-29,209,3
"305",2020-08-29,105,1
"306",2020-09-29,78,1
"307",2021-01-03,519,7
"308",2020-10-03,58,1
"309",2020-11-03,109,1
"310",2020-12-03,444,4
"311",2021-02-03,107,3
"312",2021-03-03,517,12
"313",2020-04-03,4,0
"314",2021-04-03,2824,93
"315",2020-05-03,62,0
"316",2021-05-03,211,1
"317",2020-06-03,385,22
"318",2020-07-03,445,18
"319",2020-08-03,341,1
"320",2020-09-03,77,3
"321",2021-01-30,166,1
"322",2020-10-30,139,2
"323",2020-11-30,312,6
"324",2020-12-30,637,13
"325",2020-03-30,2,0
"326",2021-03-30,1085,32
"327",2020-04-30,59,2
"328",2021-04-30,929,3
"329",2020-05-30,296,25
"330",2020-06-30,620,21
"331",2020-07-30,209,4
"332",2020-08-30,20,0
"333",2020-09-30,92,0
"334",2021-01-31,75,2
"335",2020-10-31,128,2
"336",2020-12-31,470,9
"337",2021-03-31,967,46
"338",2020-05-31,269,19
"339",2020-07-31,124,6
"340",2020-08-31,94,1
"341",2021-01-04,757,12
"342",2020-10-04,26,1
"343",2020-11-04,113,2
"344",2020-12-04,497,7
"345",2021-02-04,127,2
"346",2021-03-04,574,21
"347",2020-04-04,8,0
"348",2021-04-04,2224,45
"349",2020-05-04,85,3
"350",2021-05-04,140,0
"351",2020-06-04,349,30
"352",2020-07-04,460,11
"353",2020-08-04,108,2
"354",2020-09-04,61,1
"355",2021-01-05,652,8
"356",2020-10-05,98,2
"357",2020-11-05,190,2
"358",2020-12-05,381,10
"359",2021-02-05,235,2
"360",2021-03-05,595,21
"361",2020-04-05,2,0
"362",2021-04-05,2288,64
"363",2020-05-05,99,5
"364",2021-05-05,81,0
"365",2020-06-05,572,45
"366",2020-07-05,483,11
"367",2020-08-05,161,2
"368",2020-09-05,49,3
"369",2021-01-06,631,10
"370",2020-10-06,74,0
"371",2020-11-06,196,3
"372",2020-12-06,325,5
"373",2021-02-06,162,3
"374",2020-03-06,2,0
"375",2021-03-06,547,13
"376",2020-04-06,2,1
"377",2021-04-06,2061,54
"378",2020-05-06,79,3
"379",2021-05-06,54,0
"380",2020-06-06,510,41
"381",2020-07-06,374,17
"382",2020-08-06,116,1
"383",2020-09-06,47,3
"384",2021-01-07,490,3
"385",2020-10-07,83,1
"386",2020-11-07,137,2
"387",2020-12-07,500,7
"388",2021-02-07,199,7
"389",2021-03-07,526,15
"390",2020-04-07,6,0
"391",2021-04-07,1633,57
"392",2020-05-07,105,5
"393",2021-05-07,35,0
"394",2020-06-07,416,30
"395",2020-07-07,392,16
"396",2020-08-07,56,2
"397",2020-09-07,87,0
"398",2021-01-08,497,6
"399",2020-10-08,87,0
"400",2020-11-08,111,2
"401",2020-12-08,507,4
"402",2021-02-08,156,3
"403",2021-03-08,651,13
"404",2021-04-08,2320,67
"405",2020-05-08,83,3
"406",2020-06-08,573,38
"407",2020-07-08,417,16
"408",2020-08-08,94,2
"409",2020-09-08,77,1
"410",2021-01-09,393,4
"411",2020-10-09,75,2
"412",2020-11-09,144,3
"413",2020-12-09,488,11
"414",2021-02-09,148,7
"415",2020-03-09,2,0
"416",2021-03-09,805,33
"417",2020-04-09,3,0
"418",2021-04-09,1954,47
"419",2020-05-09,98,2
"420",2020-06-09,569,32
"421",2020-07-09,481,11
"422",2020-08-09,78,3
"423",2020-09-09,90,4
